,load,pv,irrad,temp,netload,Winter,Spring,Summer,Autumn,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23
2012-01-01 00:00:00,2.52,0.0,0.0,11.24,2.52,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 01:00:00,2.359,0.0,0.0,11.14,2.359,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 02:00:00,1.838,0.0,0.0,11.04,1.838,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 03:00:00,1.424,0.0,0.0,10.94,1.424,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 04:00:00,1.333,0.0,0.0,10.81,1.333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 05:00:00,1.512,0.0,0.0,10.68,1.512,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 06:00:00,1.589,0.0,0.0,10.54,1.589,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 07:00:00,1.694,0.0,0.0,10.48,1.694,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 08:00:00,2.343,0.0,0.0,10.42,2.343,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 09:00:00,3.356,0.0522,78.64,10.36,3.3038,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 10:00:00,3.2,0.0626,89.51,10.58,3.1374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 11:00:00,4.943,0.0472,71.22,10.8,4.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 12:00:00,5.393,0.0472,71.22,11.02,5.3458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-01-01 13:00:00,4.133,0.032,52.69,10.92,4.101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-01-01 14:00:00,4.925,0.0199,37.08,10.81,4.9051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-01-01 15:00:00,4.967,0.0075,19.51,10.7,4.9595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-01-01 16:00:00,4.41,0.0,0.0,10.36,4.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
