Time,Temp,ppv,irrad
2012-01-01 00:00,2.203,0.0,6.223
2012-01-01 01:00,1.914,0.0,6.236
2012-01-01 02:00,1.713,0.0,6.185
2012-01-01 03:00,1.139,0.0,6.211
2012-01-01 04:00,0.632,0.0,6.105
2012-01-01 05:00,0.227,0.0,6.159
2012-01-01 06:00,-0.362,0.0,6.171
2012-01-01 07:00,-0.681,0.0,6.139
2012-01-01 08:00,-0.699,0.0,6.188
2012-01-01 09:00,-0.325,0.0,11.737
2012-01-01 10:00,-0.113,0.164,42.701
2012-01-01 11:00,1.118,1.836,228.849
2012-01-01 12:00,2.417,4.5,348.765
2012-01-01 13:00,4.183,5.336,364.398
2012-01-01 14:00,3.363,5.164,237.643
2012-01-01 15:00,3.767,2.5,231.653
2012-01-01 16:00,3.519,1.164,122.649
2012-01-01 17:00,1.815,0.336,18.009
2012-01-01 18:00,1.138,0.0,6.364
2012-01-01 19:00,1.102,0.0,6.208
2012-01-01 20:00,1.101,0.0,6.264
2012-01-01 21:00,1.006,0.0,6.203
2012-01-01 22:00,0.999,0.0,6.12
2012-01-01 23:00,0.626,0.0,6.194
2012-01-02 00:00,0.083,0.0,6.179
2012-01-02 01:00,-0.095,0.0,6.201
2012-01-02 02:00,-0.38,0.0,6.215
2012-01-02 03:00,-0.306,0.0,6.193
2012-01-02 04:00,-0.299,0.0,5.995
2012-01-02 05:00,-0.3,0.0,6.154
2012-01-02 06:00,-0.3,0.0,6.167
2012-01-02 07:00,-0.395,0.0,6.206
2012-01-02 08:00,-0.493,0.0,6.169
2012-01-02 09:00,-0.78,0.0,7.817
2012-01-02 10:00,-0.799,0.0,27.63
2012-01-02 11:00,-0.334,0.664,47.823
2012-01-02 12:00,-0.018,0.336,66.584
2012-01-02 13:00,0.374,0.836,78.83
2012-01-02 14:00,0.682,0.328,86.232
2012-01-02 15:00,0.98,0.836,69.552
2012-01-02 16:00,0.812,0.0,36.444
2012-01-02 17:00,0.427,0.0,13.377
2012-01-02 18:00,0.305,0.0,5.825
2012-01-02 19:00,0.021,0.0,6.204
2012-01-02 20:00,-0.281,0.0,6.188
2012-01-02 21:00,-0.392,0.0,6.142
2012-01-02 22:00,-0.399,0.0,6.14
2012-01-02 23:00,-0.401,0.0,6.017
2012-01-03 00:00,-0.487,0.0,6.202
2012-01-03 01:00,-0.593,0.0,6.143
2012-01-03 02:00,-0.601,0.0,6.158
2012-01-03 03:00,-0.788,0.0,6.145
2012-01-03 04:00,-0.894,0.0,6.163
2012-01-03 05:00,-1.18,0.0,6.081
2012-01-03 06:00,-1.292,0.0,6.119
2012-01-03 07:00,-1.208,0.0,6.107
2012-01-03 08:00,-1.199,0.0,6.181
2012-01-03 09:00,-0.921,0.0,11.136
2012-01-03 10:00,-0.9,0.5,47.564
2012-01-03 11:00,-0.527,0.664,80.917
2012-01-03 12:00,1.557,1.172,264.397
2012-01-03 13:00,3.664,2.164,263.479
2012-01-03 14:00,3.892,1.336,196.163
2012-01-03 15:00,4.929,1.328,176.365
2012-01-03 16:00,4.531,0.836,88.173
2012-01-03 17:00,3.94,0.0,29.423
