time,irradiance,temp,wind
20120101:0010,0.0,9.01,0.97
20120101:0110,0.0,8.85,0.91
20120101:0210,0.0,8.69,0.86
20120101:0310,0.0,8.53,0.8
20120101:0410,0.0,8.51,0.65
20120101:0510,0.0,8.49,0.51
20120101:0610,0.0,8.47,0.36
20120101:0710,0.0,8.79,0.39
20120101:0810,104.96,9.11,0.42
20120101:0910,587.25,9.43,0.46
20120101:1010,532.83,10.63,0.54
20120101:1110,498.61,11.82,0.63
20120101:1210,654.59,13.01,0.72
20120101:1310,683.21,13.23,0.57
20120101:1410,525.21,13.45,0.43
20120101:1510,23.24,13.67,0.29
20120101:1610,0.0,12.66,0.73
20120101:1710,0.0,11.65,1.17
20120101:1810,0.0,10.64,1.61
20120101:1910,0.0,10.03,1.89
20120101:2010,0.0,9.42,2.16
20120101:2110,0.0,8.81,2.43
20120101:2210,0.0,9.05,2.58
20120101:2310,0.0,9.3,2.73
20120102:0010,0.0,9.55,2.88
20120102:0110,0.0,9.67,2.81
20120102:0210,0.0,9.78,2.74
20120102:0310,0.0,9.89,2.68
20120102:0410,0.0,9.9,2.62
20120102:0510,0.0,9.91,2.57
20120102:0610,0.0,9.92,2.51
20120102:0710,0.0,10.08,2.28
20120102:0810,30.31,10.25,2.05
20120102:0910,33.98,10.41,1.82
20120102:1010,37.65,10.26,1.47
20120102:1110,37.65,10.11,1.11
20120102:1210,37.65,9.96,0.76
20120102:1310,50.51,9.42,0.8
20120102:1410,33.98,8.89,0.83
20120102:1510,6.88,8.35,0.87
20120102:1610,0.0,7.83,0.91
20120102:1710,0.0,7.32,0.95
20120102:1810,0.0,6.8,0.99
20120102:1910,0.0,6.37,1.12
20120102:2010,0.0,5.94,1.24
20120102:2110,0.0,5.51,1.37
20120102:2210,0.0,5.22,1.47
20120102:2310,0.0,4.94,1.57
20120103:0010,0.0,4.65,1.67
20120103:0110,0.0,4.24,1.76
20120103:0210,0.0,3.83,1.84
20120103:0310,0.0,3.42,1.93
20120103:0410,0.0,3.05,1.73
20120103:0510,0.0,2.67,1.53
20120103:0610,0.0,2.3,1.32
20120103:0710,0.0,2.71,1.18
20120103:0810,274.69,3.13,1.03
20120103:0910,581.03,3.54,0.88
20120103:1010,549.54,5.16,0.86
20120103:1110,815.54,6.78,0.85
20120103:1210,721.68,8.4,0.83
20120103:1310,524.08,8.89,0.8
20120103:1410,382.24,9.39,0.76
20120103:1510,39.59,9.88,0.73
20120103:1610,0.0,8.74,0.98
20120103:1710,0.0,7.6,1.24
20120103:1810,0.0,6.46,1.49
20120103:1910,0.0,6.05,1.31
20120103:2010,0.0,5.64,1.13
20120103:2110,0.0,5.24,0.95
20120103:2210,0.0,5.42,1.12
20120103:2310,0.0,5.61,1.28
20120104:0010,0.0,5.8,1.45
20120104:0110,0.0,5.95,1.54
20120104:0210,0.0,6.09,1.63
20120104:0310,0.0,6.23,1.72
20120104:0410,0.0,6.65,1.36
20120104:0510,0.0,7.08,1.0
20120104:0610,0.0,7.5,0.63
20120104:0710,0.0,7.8,1.17
20120104:0810,19.29,8.09,1.7
20120104:0910,77.81,8.39,2.23
20120104:1010,42.24,8.25,2.8
20120104:1110,306.45,8.1,3.37
20120104:1210,132.15,7.96,3.94
20120104:1310,51.43,7.28,3.61
20120104:1410,37.65,6.59,3.28
20120104:1510,7.75,5.91,2.95
20120104:1610,0.0,5.38,2.56
20120104:1710,0.0,4.84,2.17
20120104:1810,0.0,4.31,1.78
20120104:1910,0.0,3.95,1.72
20120104:2010,0.0,3.59,1.66
20120104:2110,0.0,3.24,1.6
20120104:2210,0.0,3.13,1.4
20120104:2310,0.0,3.02,1.2
20120105:0010,0.0,2.91,0.99
20120105:0110,0.0,2.72,0.76
20120105:0210,0.0,2.52,0.52
20120105:0310,0.0,2.32,0.29
20120105:0410,0.0,2.65,0.4
20120105:0510,0.0,2.98,0.51
20120105:0610,0.0,3.31,0.62
20120105:0710,0.0,4.08,0.59
20120105:0810,30.31,4.86,0.56
20120105:0910,34.9,5.63,0.52
20120105:1010,50.51,6.35,0.52
20120105:1110,39.49,7.07,0.51
20120105:1210,31.22,7.79,0.51
20120105:1310,26.63,8.42,0.52
20120105:1410,35.82,9.05,0.54
20120105:1510,27.54,9.68,0.55
20120105:1610,0.0,9.71,0.78
20120105:1710,0.0,9.75,1.0
20120105:1810,0.0,9.78,1.23
20120105:1910,0.0,9.03,2.37
20120105:2010,0.0,8.29,3.52
20120105:2110,0.0,7.55,4.66
20120105:2210,0.0,6.92,4.34
20120105:2310,0.0,6.3,4.02
20120106:0010,0.0,5.67,3.7
20120106:0110,0.0,4.77,4.01
20120106:0210,0.0,3.87,4.33
20120106:0310,0.0,2.96,4.65
20120106:0410,0.0,2.75,4.2
20120106:0510,0.0,2.55,3.75
20120106:0610,0.0,2.34,3.3
20120106:0710,0.0,2.5,2.97
20120106:0810,11.94,2.67,2.65
20120106:0910,290.39,2.83,2.33
20120106:1010,44.08,3.32,2.75
20120106:1110,96.43,3.8,3.18
20120106:1210,63.37,4.29,3.6
20120106:1310,219.5,4.22,3.37
20120106:1410,76.53,4.14,3.13
20120106:1510,43.03,4.07,2.9
20120106:1610,0.0,3.7,3.15
20120106:1710,0.0,3.32,3.4
20120106:1810,0.0,2.95,3.66
20120106:1910,0.0,2.78,3.43
20120106:2010,0.0,2.61,3.21
20120106:2110,0.0,2.44,2.99
20120106:2210,0.0,2.36,2.78
20120106:2310,0.0,2.29,2.57
20120107:0010,0.0,2.22,2.36
20120107:0110,0.0,2.06,2.41
20120107:0210,0.0,1.9,2.46
20120107:0310,0.0,1.74,2.51
20120107:0410,0.0,1.69,2.33
20120107:0510,0.0,1.63,2.14
20120107:0610,0.0,1.58,1.96
20120107:0710,0.0,2.17,1.72
20120107:0810,404.34,2.76,1.49
20120107:0910,285.72,3.35,1.26
20120107:1010,178.0,4.47,1.43
20120107:1110,132.16,5.58,1.6
20120107:1210,97.35,6.7,1.77
20120107:1310,49.59,6.95,1.66
20120107:1410,50.51,7.19,1.56
20120107:1510,45.61,7.44,1.46
20120107:1610,0.0,7.16,1.26
20120107:1710,0.0,6.87,1.07
20120107:1810,0.0,6.59,0.87
20120107:1910,0.0,6.52,0.83
20120107:2010,0.0,6.46,0.79
20120107:2110,0.0,6.4,0.74
20120107:2210,0.0,6.48,1.09
20120107:2310,0.0,6.57,1.43
20120108:0010,0.0,6.65,1.77
20120108:0110,0.0,6.39,1.57
20120108:0210,0.0,6.13,1.38
20120108:0310,0.0,5.86,1.19
20120108:0410,0.0,5.69,1.3
20120108:0510,0.0,5.52,1.41
