time,irradiance,h_sun,temp,wind
20160101:0010,0.0,0.0,9.17,0.18
20160101:0110,0.0,0.0,8.55,0.33
20160101:0210,0.0,0.0,7.93,0.47
20160101:0310,0.0,0.0,7.3,0.62
20160101:0410,0.0,0.0,7.21,0.8
20160101:0510,0.0,0.0,7.13,0.99
20160101:0610,0.0,0.0,7.04,1.17
20160101:0710,0.0,0.0,7.4,1.26
20160101:0810,92.4,6.74,7.77,1.34
20160101:0910,313.82,13.72,8.13,1.42
20160101:1010,419.4,18.77,8.84,1.79
20160101:1110,159.48,21.45,9.54,2.16
20160101:1210,101.04,21.45,10.25,2.52
20160101:1310,26.38,18.78,10.46,2.31
20160101:1410,25.36,13.72,10.68,2.1
20160101:1510,9.71,6.75,10.89,1.89
20160101:1610,0.0,0.0,10.62,2.04
20160101:1710,0.0,0.0,10.35,2.18
20160101:1810,0.0,0.0,10.08,2.33
20160101:1910,0.0,0.0,9.95,2.43
20160101:2010,0.0,0.0,9.83,2.53
20160101:2110,0.0,0.0,9.71,2.63
20160101:2210,0.0,0.0,9.69,2.73
20160101:2310,0.0,0.0,9.68,2.83
20160102:0010,0.0,0.0,9.67,2.92
20160102:0110,0.0,0.0,9.69,2.91
20160102:0210,0.0,0.0,9.71,2.89
20160102:0310,0.0,0.0,9.73,2.87
20160102:0410,0.0,0.0,9.76,2.81
20160102:0510,0.0,0.0,9.79,2.75
20160102:0610,0.0,0.0,9.82,2.69
20160102:0710,0.0,0.0,9.96,2.44
20160102:0810,0.0,0.0,10.1,2.18
20160102:0910,181.8,13.75,10.24,1.93
20160102:1010,0.0,0.0,10.47,1.77
20160102:1110,0.0,0.0,10.7,1.62
20160102:1210,0.0,0.0,10.93,1.46
20160102:1310,0.0,0.0,10.68,1.7
20160102:1410,3.57,13.84,10.43,1.93
20160102:1510,0.0,0.0,10.18,2.17
20160102:1610,0.0,0.0,9.31,2.04
20160102:1710,0.0,0.0,8.43,1.92
20160102:1810,0.0,0.0,7.56,1.79
20160102:1910,0.0,0.0,6.9,1.93
20160102:2010,0.0,0.0,6.24,2.07
20160102:2110,0.0,0.0,5.58,2.21
20160102:2210,0.0,0.0,5.7,2.12
20160102:2310,0.0,0.0,5.83,2.04
20160103:0010,0.0,0.0,5.96,1.96
20160103:0110,0.0,0.0,5.55,1.83
20160103:0210,0.0,0.0,5.14,1.71
20160103:0310,0.0,0.0,4.73,1.59
20160103:0410,0.0,0.0,4.55,1.53
20160103:0510,0.0,0.0,4.37,1.48
20160103:0610,0.0,0.0,4.19,1.42
20160103:0710,0.0,0.0,4.46,1.14
20160103:0810,41.75,6.78,4.73,0.85
20160103:0910,123.36,13.79,5.0,0.57
20160103:1010,301.97,18.89,5.88,0.61
20160103:1110,64.61,21.61,6.76,0.65
20160103:1210,147.74,21.65,7.64,0.69
20160103:1310,16.35,19.01,7.73,0.97
20160103:1410,0.0,0.0,7.83,1.25
20160103:1510,0.88,7.01,7.92,1.53
20160103:1610,0.0,0.0,7.71,1.83
20160103:1710,0.0,0.0,7.5,2.13
20160103:1810,0.0,0.0,7.29,2.43
20160103:1910,0.0,0.0,6.99,2.75
20160103:2010,0.0,0.0,6.69,3.08
20160103:2110,0.0,0.0,6.39,3.41
20160103:2210,0.0,0.0,6.58,3.43
20160103:2310,0.0,0.0,6.77,3.44
