datetime,netload,temp,month_x,month_y,day_x,day_y,hour_x,hour_y,LoadTm1,LoadTm2,LoadTm3,LoadTm4,LoadTm5,LoadTm6,LoadTm7,LoadTm8,LoadTm9,LoadTm10,LoadTm11,LoadTm12
2012-01-01 00:00:00,0.732,11.24,0.0,1.0,0.0,1.0,0.0,1.0,1.131,1.58,1.705,1.372,1.819,2.678,2.644,1.431,1.202,1.356,1.107,0.909
2012-01-01 01:00:00,0.688,11.14,0.0,1.0,0.0,1.0,0.25881904510252074,0.9659258262890683,0.732,1.131,1.58,1.705,1.372,1.819,2.678,2.644,1.431,1.202,1.356,1.107
2012-01-01 02:00:00,0.669,11.04,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.688,0.732,1.131,1.58,1.705,1.372,1.819,2.678,2.644,1.431,1.202,1.356
2012-01-01 03:00:00,0.694,10.94,0.0,1.0,0.0,1.0,0.7071067811865475,0.7071067811865476,0.669,0.688,0.732,1.131,1.58,1.705,1.372,1.819,2.678,2.644,1.431,1.202
2012-01-01 04:00:00,0.762,10.81,0.0,1.0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.694,0.669,0.688,0.732,1.131,1.58,1.705,1.372,1.819,2.678,2.644,1.431
2012-01-01 05:00:00,0.701,10.68,0.0,1.0,0.0,1.0,0.9659258262890682,0.25881904510252096,0.762,0.694,0.669,0.688,0.732,1.131,1.58,1.705,1.372,1.819,2.678,2.644
2012-01-01 06:00:00,0.87,10.54,0.0,1.0,0.0,1.0,1.0,6.123233995736766e-17,0.701,0.762,0.694,0.669,0.688,0.732,1.131,1.58,1.705,1.372,1.819,2.678
2012-01-01 07:00:00,1.036,10.48,0.0,1.0,0.0,1.0,0.9659258262890683,-0.25881904510252063,0.87,0.701,0.762,0.694,0.669,0.688,0.732,1.131,1.58,1.705,1.372,1.819
2012-01-01 08:00:00,1.608,10.42,0.0,1.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1.036,0.87,0.701,0.762,0.694,0.669,0.688,0.732,1.131,1.58,1.705,1.372
2012-01-01 09:00:00,2.468,10.36,0.0,1.0,0.0,1.0,0.7071067811865476,-0.7071067811865475,1.608,1.036,0.87,0.701,0.762,0.694,0.669,0.688,0.732,1.131,1.58,1.705
2012-01-01 10:00:00,2.216,10.58,0.0,1.0,0.0,1.0,0.5000000000000003,-0.8660254037844385,2.468,1.608,1.036,0.87,0.701,0.762,0.694,0.669,0.688,0.732,1.131,1.58
2012-01-01 11:00:00,2.794,10.8,0.0,1.0,0.0,1.0,0.258819045102521,-0.9659258262890682,2.216,2.468,1.608,1.036,0.87,0.701,0.762,0.694,0.669,0.688,0.732,1.131
