datetime,netload,temp
2012-01-01 00:00:00,0.732,11.24
2012-01-01 01:00:00,0.688,11.14
2012-01-01 02:00:00,0.669,11.04
2012-01-01 03:00:00,0.694,10.94
2012-01-01 04:00:00,0.762,10.81
2012-01-01 05:00:00,0.701,10.68
2012-01-01 06:00:00,0.87,10.54
2012-01-01 07:00:00,1.036,10.48
2012-01-01 08:00:00,1.608,10.42
2012-01-01 09:00:00,2.468,10.36
2012-01-01 10:00:00,2.216,10.58
2012-01-01 11:00:00,2.794,10.8
2012-01-01 12:00:00,2.466,11.02
2012-01-01 13:00:00,1.958,10.92
2012-01-01 14:00:00,1.418,10.81
2012-01-01 15:00:00,1.675,10.7
2012-01-01 16:00:00,4.906,10.36
2012-01-01 17:00:00,2.004,10.02
2012-01-01 18:00:00,1.953,9.68
2012-01-01 19:00:00,1.798,9.11
2012-01-01 20:00:00,2.02,8.54
2012-01-01 21:00:00,1.327,7.97
2012-01-01 22:00:00,1.204,7.58
2012-01-01 23:00:00,1.066,7.18
2012-01-02 00:00:00,0.778,6.78
2012-01-02 01:00:00,1.014,6.26
2012-01-02 02:00:00,0.719,5.74
2012-01-02 03:00:00,0.516,5.22
2012-01-02 04:00:00,0.621,5.06
2012-01-02 05:00:00,0.719,4.9
2012-01-02 06:00:00,0.814,4.73
2012-01-02 07:00:00,0.92,4.56
2012-01-02 08:00:00,1.571,4.38
2012-01-02 09:00:00,0.941,4.2
2012-01-02 10:00:00,1.156,4.84
2012-01-02 11:00:00,0.985,5.47
2012-01-02 12:00:00,1.018,6.11
2012-01-02 13:00:00,1.124,6.36
2012-01-02 14:00:00,1.101,6.6
2012-01-02 15:00:00,0.858,6.84
2012-01-02 16:00:00,1.948,6.35
2012-01-02 17:00:00,2.112,5.86
2012-01-02 18:00:00,2.036,5.37
2012-01-02 19:00:00,2.553,5.45
2012-01-02 20:00:00,2.181,5.53
2012-01-02 21:00:00,1.864,5.6
2012-01-02 22:00:00,1.789,6.09
2012-01-02 23:00:00,1.22,6.57
2012-01-03 00:00:00,1.054,7.05
2012-01-03 01:00:00,0.904,7.3
2012-01-03 02:00:00,0.659,7.55
2012-01-03 03:00:00,0.651,7.8
2012-01-03 04:00:00,0.615,8.41
2012-01-03 05:00:00,0.621,9.02
2012-01-03 06:00:00,0.915,9.62
2012-01-03 07:00:00,1.515,9.98
2012-01-03 08:00:00,1.221,10.34
2012-01-03 09:00:00,1.019,10.69
2012-01-03 10:00:00,0.964,10.91
2012-01-03 11:00:00,1.048,11.13
2012-01-03 12:00:00,0.997,11.35
2012-01-03 13:00:00,1.383,10.06
2012-01-03 14:00:00,1.324,8.77
2012-01-03 15:00:00,1.242,7.47
2012-01-03 16:00:00,1.795,6.8
2012-01-03 17:00:00,1.376,6.13
2012-01-03 18:00:00,1.949,5.46
2012-01-03 19:00:00,1.559,5.39
2012-01-03 20:00:00,2.285,5.32
2012-01-03 21:00:00,1.936,5.24
2012-01-03 22:00:00,1.486,5.47
2012-01-03 23:00:00,1.109,5.69
2012-01-04 00:00:00,0.883,5.91
2012-01-04 01:00:00,0.704,5.66
2012-01-04 02:00:00,0.608,5.4
2012-01-04 03:00:00,0.599,5.14
2012-01-04 04:00:00,0.59,5.0
2012-01-04 05:00:00,0.594,4.86
2012-01-04 06:00:00,0.843,4.72
2012-01-04 07:00:00,1.254,4.73
2012-01-04 08:00:00,1.135,4.74
2012-01-04 09:00:00,0.965,4.74
2012-01-04 10:00:00,1.119,5.7
2012-01-04 11:00:00,0.801,6.65
2012-01-04 12:00:00,1.179,7.61
2012-01-04 13:00:00,1.905,7.74
2012-01-04 14:00:00,1.07,7.87
2012-01-04 15:00:00,0.906,7.99
2012-01-04 16:00:00,1.598,8.05
2012-01-04 17:00:00,2.528,8.11
2012-01-04 18:00:00,2.881,8.17
2012-01-04 19:00:00,4.058,8.31
2012-01-04 20:00:00,2.317,8.44
2012-01-04 21:00:00,1.84,8.57
2012-01-04 22:00:00,1.879,8.7
2012-01-04 23:00:00,1.494,8.83
2012-01-05 00:00:00,1.319,8.95
2012-01-05 01:00:00,1.315,9.03
2012-01-05 02:00:00,1.091,9.11
2012-01-05 03:00:00,0.731,9.18
2012-01-05 04:00:00,0.608,9.36
2012-01-05 05:00:00,0.723,9.54
2012-01-05 06:00:00,0.993,9.72
2012-01-05 07:00:00,1.387,9.34
2012-01-05 08:00:00,1.364,8.96
2012-01-05 09:00:00,1.015,8.58
2012-01-05 10:00:00,0.667,8.67
2012-01-05 11:00:00,1.382,8.75
2012-01-05 12:00:00,1.135,8.84
2012-01-05 13:00:00,2.961,8.72
