DateTime,KWH,temp,irradiance
2012-01-01 00:00:00,1.019,9.01,0.0
2012-01-01 01:00:00,0.976,8.85,0.0
2012-01-01 02:00:00,0.978,8.69,0.0
2012-01-01 03:00:00,0.903,8.53,0.0
2012-01-01 04:00:00,1.013,8.51,0.0
2012-01-01 05:00:00,1.067,8.49,0.0
2012-01-01 06:00:00,1.052,8.47,0.0
2012-01-01 07:00:00,1.15,8.79,0.0
2012-01-01 08:00:00,1.784,9.11,104.96
2012-01-01 09:00:00,1.571,9.43,587.25
2012-01-01 10:00:00,1.322,10.63,532.83
2012-01-01 11:00:00,1.262,11.82,498.61
2012-01-01 12:00:00,1.872,13.01,654.59
2012-01-01 13:00:00,1.368,13.23,683.21
2012-01-01 14:00:00,1.257,13.45,525.21
2012-01-01 15:00:00,1.658,13.67,23.24
2012-01-01 16:00:00,5.085,12.66,0.0
2012-01-01 17:00:00,2.182,11.65,0.0
2012-01-01 18:00:00,2.039,10.64,0.0
2012-01-01 19:00:00,1.942,10.03,0.0
2012-01-01 20:00:00,1.829,9.42,0.0
2012-01-01 21:00:00,1.488,8.81,0.0
2012-01-01 22:00:00,1.341,9.05,0.0
2012-01-01 23:00:00,1.205,9.3,0.0
2012-01-02 00:00:00,1.092,9.55,0.0
2012-01-02 01:00:00,1.296,9.67,0.0
2012-01-02 02:00:00,0.976,9.78,0.0
2012-01-02 03:00:00,0.729,9.89,0.0
2012-01-02 04:00:00,0.942,9.9,0.0
2012-01-02 05:00:00,0.844,9.91,0.0
2012-01-02 06:00:00,1.041,9.92,0.0
2012-01-02 07:00:00,1.151,10.08,0.0
2012-01-02 08:00:00,1.922,10.25,30.31
2012-01-02 09:00:00,1.317,10.41,33.98
2012-01-02 10:00:00,1.509,10.26,37.65
2012-01-02 11:00:00,1.435,10.11,37.65
2012-01-02 12:00:00,2.289,9.96,37.65
2012-01-02 13:00:00,1.539,9.42,50.51
2012-01-02 14:00:00,1.351,8.89,33.98
2012-01-02 15:00:00,1.329,8.35,6.88
2012-01-02 16:00:00,2.371,7.83,0.0
2012-01-02 17:00:00,3.072,7.32,0.0
2012-01-02 18:00:00,2.203,6.8,0.0
2012-01-02 19:00:00,1.987,6.37,0.0
2012-01-02 20:00:00,2.32,5.94,0.0
2012-01-02 21:00:00,2.037,5.51,0.0
2012-01-02 22:00:00,1.921,5.22,0.0
2012-01-02 23:00:00,1.547,4.94,0.0
2012-01-03 00:00:00,1.492,4.65,0.0
2012-01-03 01:00:00,1.097,4.24,0.0
2012-01-03 02:00:00,0.894,3.83,0.0
2012-01-03 03:00:00,1.017,3.42,0.0
2012-01-03 04:00:00,0.769,3.05,0.0
2012-01-03 05:00:00,0.869,2.67,0.0
2012-01-03 06:00:00,1.184,2.3,0.0
2012-01-03 07:00:00,1.565,2.71,0.0
2012-01-03 08:00:00,1.439,3.13,274.69
2012-01-03 09:00:00,1.764,3.54,581.03
2012-01-03 10:00:00,2.258,5.16,549.54
2012-01-03 11:00:00,3.858,6.78,815.54
2012-01-03 12:00:00,1.522,8.4,721.68
2012-01-03 13:00:00,1.475,8.89,524.08
