time,pv,irradiance,temp
20120101:0010,0.0,0.0,11.24
20120101:0110,0.0,0.0,11.14
20120101:0210,0.0,0.0,11.04
20120101:0310,0.0,0.0,10.94
20120101:0410,0.0,0.0,10.81
20120101:0510,0.0,0.0,10.68
20120101:0610,0.0,0.0,10.54
20120101:0710,0.0,0.0,10.48
20120101:0810,0.0,0.0,10.42
20120101:0910,77.33,104.86,10.36
20120101:1010,66.31,92.9,10.58
20120101:1110,42.6,65.52,10.8
20120101:1210,42.56,65.52,11.02
20120101:1310,28.76,48.47,10.92
20120101:1410,17.72,34.11,10.81
20120101:1510,6.49,17.95,10.7
20120101:1610,0.0,0.0,10.36
20120101:1710,0.0,0.0,10.02
20120101:1810,0.0,0.0,9.68
20120101:1910,0.0,0.0,9.11
20120101:2010,0.0,0.0,8.54
20120101:2110,0.0,0.0,7.97
20120101:2210,0.0,0.0,7.58
20120101:2310,0.0,0.0,7.18
20120102:0010,0.0,0.0,6.78
20120102:0110,0.0,0.0,6.26
20120102:0210,0.0,0.0,5.74
20120102:0310,0.0,0.0,5.22
20120102:0410,0.0,0.0,5.06
20120102:0510,0.0,0.0,4.9
20120102:0610,0.0,0.0,4.73
20120102:0710,0.0,0.0,4.56
20120102:0810,0.0,0.0,4.38
20120102:0910,294.71,338.21,4.2
20120102:1010,493.1,559.53,4.84
20120102:1110,591.93,674.71,5.47
20120102:1210,618.86,707.04,6.11
20120102:1310,544.85,621.71,6.36
20120102:1410,412.64,472.82,6.6
20120102:1510,161.72,199.36,6.84
20120102:1610,0.0,0.0,6.35
20120102:1710,0.0,0.0,5.86
20120102:1810,0.0,0.0,5.37
20120102:1910,0.0,0.0,5.45
20120102:2010,0.0,0.0,5.53
20120102:2110,0.0,0.0,5.6
20120102:2210,0.0,0.0,6.09
20120102:2310,0.0,0.0,6.57
20120103:0010,0.0,0.0,7.05
20120103:0110,0.0,0.0,7.3
20120103:0210,0.0,0.0,7.55
20120103:0310,0.0,0.0,7.8
20120103:0410,0.0,0.0,8.41
20120103:0510,0.0,0.0,9.02
20120103:0610,0.0,0.0,9.62
20120103:0710,0.0,0.0,9.98
20120103:0810,0.0,0.0,10.34
20120103:0910,0.24,6.28,10.69
20120103:1010,23.18,41.29,10.91
20120103:1110,12.5,26.93,11.13
20120103:1210,7.61,19.75,11.35
20120103:1310,27.49,46.67,10.06
20120103:1410,29.1,48.47,8.77
20120103:1510,171.61,210.0,7.47
20120103:1610,0.0,0.0,6.8
20120103:1710,0.0,0.0,6.13
20120103:1810,0.0,0.0,5.46
20120103:1910,0.0,0.0,5.39
20120103:2010,0.0,0.0,5.32
20120103:2110,0.0,0.0,5.24
20120103:2210,0.0,0.0,5.47
20120103:2310,0.0,0.0,5.69
20120104:0010,0.0,0.0,5.91
20120104:0110,0.0,0.0,5.66
20120104:0210,0.0,0.0,5.4
20120104:0310,0.0,0.0,5.14
20120104:0410,0.0,0.0,5.0
20120104:0510,0.0,0.0,4.86
20120104:0610,0.0,0.0,4.72
20120104:0710,0.0,0.0,4.73
20120104:0810,0.0,0.0,4.74
20120104:0910,329.28,375.87,4.74
20120104:1010,114.45,144.0,5.7
20120104:1110,177.34,213.1,6.65
20120104:1210,378.78,434.59,7.61
20120104:1310,16.0,31.42,7.74
20120104:1410,38.61,59.87,7.87
20120104:1510,9.57,22.44,7.99
20120104:1610,0.0,0.0,8.05
20120104:1710,0.0,0.0,8.11
20120104:1810,0.0,0.0,8.17
20120104:1910,0.0,0.0,8.31
20120104:2010,0.0,0.0,8.44
20120104:2110,0.0,0.0,8.57
20120104:2210,0.0,0.0,8.7
20120104:2310,0.0,0.0,8.83
20120105:0010,0.0,0.0,8.95
20120105:0110,0.0,0.0,9.03
20120105:0210,0.0,0.0,9.11
20120105:0310,0.0,0.0,9.18
20120105:0410,0.0,0.0,9.36
20120105:0510,0.0,0.0,9.54
20120105:0610,0.0,0.0,9.72
20120105:0710,0.0,0.0,9.34
20120105:0810,0.0,0.0,8.96
20120105:0910,318.61,368.14,8.58
20120105:1010,366.9,420.28,8.67
20120105:1110,571.78,650.2,8.75
20120105:1210,97.03,126.98,8.84
20120105:1310,258.78,302.3,8.72
20120105:1410,61.79,86.98,8.6
20120105:1510,214.77,258.6,8.47
20120105:1610,0.0,0.0,7.83
20120105:1710,0.0,0.0,7.19
20120105:1810,0.0,0.0,6.54
20120105:1910,0.0,0.0,6.18
20120105:2010,0.0,0.0,5.82
20120105:2110,0.0,0.0,5.45
20120105:2210,0.0,0.0,5.38
20120105:2310,0.0,0.0,5.3
20120106:0010,0.0,0.0,5.22
20120106:0110,0.0,0.0,5.01
20120106:0210,0.0,0.0,4.8
20120106:0310,0.0,0.0,4.59
20120106:0410,0.0,0.0,4.2
20120106:0510,0.0,0.0,3.81
20120106:0610,0.0,0.0,3.41
20120106:0710,0.0,0.0,3.15
20120106:0810,0.0,0.0,2.88
20120106:0910,181.35,214.47,2.61
20120106:1010,376.64,429.71,3.9
20120106:1110,547.45,629.7,5.2
20120106:1210,516.86,596.77,6.49
20120106:1310,397.5,458.84,6.69
20120106:1410,369.04,427.79,6.89
20120106:1510,228.33,274.77,7.09
20120106:1610,0.0,0.0,6.86
20120106:1710,0.0,0.0,6.62
20120106:1810,0.0,0.0,6.38
20120106:1910,0.0,0.0,7.02
20120106:2010,0.0,0.0,7.66
20120106:2110,0.0,0.0,8.3
20120106:2210,0.0,0.0,8.59
20120106:2310,0.0,0.0,8.88
20120107:0010,0.0,0.0,9.17
20120107:0110,0.0,0.0,9.2
20120107:0210,0.0,0.0,9.23
20120107:0310,0.0,0.0,9.25
20120107:0410,0.0,0.0,9.29
20120107:0510,0.0,0.0,9.32
20120107:0610,0.0,0.0,9.35
20120107:0710,0.0,0.0,8.84
20120107:0810,0.0,0.0,8.33
20120107:0910,63.7,88.53,7.81
20120107:1010,128.5,160.74,7.77
20120107:1110,188.25,226.24,7.72
20120107:1210,231.71,273.71,7.68
20120107:1310,108.92,139.85,7.82
20120107:1410,21.41,38.6,7.96
20120107:1510,195.25,237.65,8.1
20120107:1610,0.0,0.0,7.39
20120107:1710,0.0,0.0,6.68
20120107:1810,0.0,0.0,5.96
20120107:1910,0.0,0.0,5.83
20120107:2010,0.0,0.0,5.7
20120107:2110,0.0,0.0,5.56
20120107:2210,0.0,0.0,5.55
20120107:2310,0.0,0.0,5.54
20120108:0010,0.0,0.0,5.52
20120108:0110,0.0,0.0,5.4
20120108:0210,0.0,0.0,5.27
20120108:0310,0.0,0.0,5.14
20120108:0410,0.0,0.0,4.88
20120108:0510,0.0,0.0,4.62
20120108:0610,0.0,0.0,4.36
20120108:0710,0.0,0.0,4.4
20120108:0810,0.0,0.0,4.43
20120108:0910,9.75,22.44,4.46
20120108:1010,15.5,30.52,5.64
20120108:1110,22.92,40.39,6.83
20120108:1210,22.78,40.39,8.01
20120108:1310,38.58,60.14,8.33
20120108:1410,44.66,67.36,8.65
20120108:1510,69.07,96.29,8.97
20120108:1610,0.0,0.0,8.77
20120108:1710,0.0,0.0,8.57
20120108:1810,0.0,0.0,8.36
20120108:1910,0.0,0.0,8.52
20120108:2010,0.0,0.0,8.68
20120108:2110,0.0,0.0,8.83
20120108:2210,0.0,0.0,8.75
20120108:2310,0.0,0.0,8.67
20120109:0010,0.0,0.0,8.59
20120109:0110,0.0,0.0,8.22
20120109:0210,0.0,0.0,7.85
20120109:0310,0.0,0.0,7.47
20120109:0410,0.0,0.0,7.47
20120109:0510,0.0,0.0,7.47
20120109:0610,0.0,0.0,7.47
20120109:0710,0.0,0.0,7.8
20120109:0810,0.0,0.0,8.13
20120109:0910,19.45,35.97,8.46
20120109:1010,15.21,30.52,9.23
20120109:1110,11.31,25.13,9.99
20120109:1210,139.61,175.74,10.75
20120109:1310,502.79,587.15,10.68
20120109:1410,11.89,26.03,10.6
20120109:1510,24.44,42.88,10.52
20120109:1610,0.0,0.0,10.19
20120109:1710,0.0,0.0,9.86
20120109:1810,0.0,0.0,9.52
20120109:1910,0.0,0.0,9.37
20120109:2010,0.0,0.0,9.22
20120109:2110,0.0,0.0,9.07
20120109:2210,0.0,0.0,8.97
20120109:2310,0.0,0.0,8.86
20120110:0010,0.0,0.0,8.75
20120110:0110,0.0,0.0,8.74
20120110:0210,0.0,0.0,8.73
20120110:0310,0.0,0.0,8.71
20120110:0410,0.0,0.0,8.63
20120110:0510,0.0,0.0,8.55
20120110:0610,0.0,0.0,8.46
20120110:0710,0.0,0.0,8.54
20120110:0810,0.0,0.0,8.62
20120110:0910,87.98,116.38,8.7
20120110:1010,62.92,88.75,9.27
20120110:1110,388.2,452.41,9.83
20120110:1210,22.51,40.39,10.4
20120110:1310,39.7,61.93,10.3
20120110:1410,33.14,53.85,10.19
20120110:1510,11.29,25.13,10.08
20120110:1610,0.0,0.0,9.49
20120110:1710,0.0,0.0,8.9
20120110:1810,0.0,0.0,8.31
20120110:1910,0.0,0.0,8.05
20120110:2010,0.0,0.0,7.78
20120110:2110,0.0,0.0,7.51
20120110:2210,0.0,0.0,7.41
20120110:2310,0.0,0.0,7.31
20120111:0010,0.0,0.0,7.2
20120111:0110,0.0,0.0,7.07
20120111:0210,0.0,0.0,6.94
20120111:0310,0.0,0.0,6.8
20120111:0410,0.0,0.0,6.87
20120111:0510,0.0,0.0,6.93
20120111:0610,0.0,0.0,6.99
20120111:0710,0.0,0.0,7.19
20120111:0810,0.0,0.0,7.39
20120111:0910,214.76,255.78,7.59
20120111:1010,482.65,560.23,8.43
20120111:1110,606.09,708.86,9.26
20120111:1210,611.8,716.78,10.1
20120111:1310,227.11,271.84,10.01
20120111:1410,23.95,42.19,9.92
20120111:1510,10.69,24.23,9.82
20120111:1610,0.0,0.0,9.5
20120111:1710,0.0,0.0,9.18
20120111:1810,0.0,0.0,8.85
20120111:1910,0.0,0.0,8.68
20120111:2010,0.0,0.0,8.51
20120111:2110,0.0,0.0,8.33
20120111:2210,0.0,0.0,8.05
20120111:2310,0.0,0.0,7.76
20120112:0010,0.0,0.0,7.47
20120112:0110,0.0,0.0,7.14
20120112:0210,0.0,0.0,6.81
20120112:0310,0.0,0.0,6.48
20120112:0410,0.0,0.0,6.8
20120112:0510,0.0,0.0,7.12
20120112:0610,0.0,0.0,7.44
20120112:0710,0.0,0.0,7.95
20120112:0810,0.0,0.0,8.45
20120112:0910,213.11,253.85,8.95
20120112:1010,43.52,66.2,9.62
20120112:1110,178.46,217.69,10.3
20120112:1210,548.84,637.78,10.97
20120112:1310,11.25,25.13,10.92
20120112:1410,353.38,413.7,10.87
20120112:1510,222.27,270.3,10.81
20120112:1610,0.0,0.0,10.17
20120112:1710,0.0,0.0,9.52
20120112:1810,0.0,0.0,8.87
20120112:1910,0.0,0.0,8.26
20120112:2010,0.0,0.0,7.64
20120112:2110,0.0,0.0,7.02
20120112:2210,0.0,0.0,6.46
20120112:2310,0.0,0.0,5.89
20120113:0010,0.0,0.0,5.32
20120113:0110,0.0,0.0,4.88
20120113:0210,0.0,0.0,4.43
20120113:0310,0.0,0.0,3.98
20120113:0410,0.0,0.0,3.89
20120113:0510,0.0,0.0,3.8
20120113:0610,0.0,0.0,3.7
20120113:0710,0.0,0.0,3.73
20120113:0810,0.0,0.0,3.75
20120113:0910,303.21,350.38,3.77
20120113:1010,106.9,135.84,4.3
20120113:1110,263.67,307.98,4.82
20120113:1210,574.32,671.32,5.34
20120113:1310,386.78,447.97,5.34
20120113:1410,226.74,268.17,5.33
20120113:1510,227.8,272.64,5.32
20120113:1610,0.0,0.0,4.41
20120113:1710,0.0,0.0,3.5
20120113:1810,0.0,0.0,2.59
20120113:1910,0.0,0.0,2.33
20120113:2010,0.0,0.0,2.07
20120113:2110,0.0,0.0,1.81
20120113:2210,0.0,0.0,1.86
20120113:2310,0.0,0.0,1.9
20120114:0010,0.0,0.0,1.94
20120114:0110,0.0,0.0,0.49
20120114:0210,0.0,0.0,-0.96
20120114:0310,0.0,0.0,-2.41
20120114:0410,0.0,0.0,-2.38
20120114:0510,0.0,0.0,-2.35
20120114:0610,0.0,0.0,-2.32
20120114:0710,0.0,0.0,-2.0
20120114:0810,0.0,0.0,-1.68
20120114:0910,305.5,346.79,-1.36
